case_id	TPRN	ITGAV	ART1	RBMXL3	PNOC	RNF128	ZNF222	FAM108B1	DLGAP4	OIP5	C2orf84	RAET1G	KIAA1522	HLX	PPAPDC1A	ZNF799	TAS2R19	ZNF416	CCL24	MAP3K6	SNORD56B	RND3	RUNX1T1	C4orf17	TENC1	NRXN2	ACTR2	ZNF554	PCSK5	SCRG1	SPDYE2	HPCAL1	GSS	TSPAN9	IL21	ADCY4	SGK196	KLHDC4	RMRP	HMGN5	ERLIN2	PCDHB18	C10orf11	ARIH2	?|653553	CCDC13	TAAR8	TPPP3	PARK2	MDM4	CPB2	KPNA6	SLC25A18	LY6G6D	AGL	FAM190A	PPP2R2C	ACTL7B	NPB	TJP3	NDOR1	XCL2	MRPS7	OTUD1	ZNF841	GUCY2D	CXCR2P1	DEPDC1	PSMB11	STXBP4	SLC25A13	PSMB8	ANKRD19	SPHKAP	C10orf107	ANKRD34B	MAK16	NR2E3	MT1H	SLITRK2	GZMA	ZNF845	ZMYM6	RPP30	HECTD3	ANKRD58	RFWD2	PSMA3	OTX2	SNAP29	LMO7	NAALADL1	ATN1	UHRF1BP1L	MED18	CNN3	TRPM1	BCL7C	C8B	MAP6	C1orf187	LRRC15	PROCA1	HSFX2	ABCD2	KSR1	GRAPL	NRK	TACR3	BMP8B	SLC31A2	FBXO43	PGA3	SOCS3	CD302	RAP2C	PAQR7	OR7E37P	TTC35	FAM7A2	C10orf82	DNAL4	SCML1	GRIK5	PNPLA5	C1orf49	KRT6C	RNPEPL1	C2orf7	SSX1	ABCB10	FYTTD1	KCTD8	MRPL55	LOC441294	MYO18A	SNORD59B	LTV1	LTA4H	SPRY3	BICC1	PHF7	ANAPC16	BPIL2	PGM2L1	DEGS1	MAGEE1	PKP2	ST6GALNAC1	SLC25A24	DPM1	SCAMP5	XKR3	SLC6A15	CD53	UGT1A1	C5orf54	MUC17	CT47B1	KIF5A	KCNK15	FCGR3A	PALM2-AKAP2	EEF1D	RHOV	BRE	ZSCAN18	TTTY15	SEMA3B	DHRS3	FA2H	MLN	MS4A6A	TPRX1	C10orf111	MFSD3	UBXN2B	ZNF225	KCNQ1	C6orf115	NLRC5	CXCR7	SH3GL2	KIAA0087	C19orf44	KDM5A	LCE3C	TAS2R1	MYO7A	ZNF135	KCTD11	SORL1	HDAC6	GMPPA	FAM181A	BGN	MYL2	LINGO4	IGFL4	PLXNA3
TCGA-BH-A0B2	9.55	11.2306	0.0	0.0	4.6437	6.0163	6.0251	8.2916	10.9622	5.4866	2.3027	3.2112	11.6793	8.096	7.6834	7.3633	0.8374	7.0487	0.0	8.4574	0.0	9.8281	6.5997	0.0	10.6797	7.1238	12.4457	7.424	7.6011	3.7219	2.4134	8.8334	9.8886	10.9442	0.0	7.8303	6.5339	7.6708	4.2252	7.2222	12.3256	2.5162	5.4294	10.2929	7.3667	2.4134	0.0	7.8153	5.5311	10.173	0.0	10.4183	3.7643	0.4786	11.1745	5.2913	6.7337	0.4786	2.3027	10.4401	9.6367	5.5793	9.8892	8.4477	7.5199	3.4891	8.5944	6.6401	0.4786	7.4759	8.5841	11.5721	6.723	2.4134	3.5387	0.0	8.1702	2.5162	2.1829	3.0145	7.5261	7.9453	8.5988	8.9085	10.0669	4.6884	10.2873	10.3538	0.0	10.445	9.2554	5.5063	11.7989	9.2479	7.8278	11.8039	0.0	9.6445	0.0	7.0951	1.1245	12.2817	4.4753	3.8845	5.6934	8.5811	4.0947	8.0389	0.4786	5.2016	8.5051	3.0831	0.0	9.5447	9.6712	9.8868	8.8751	0.0	10.5331	1.1245	4.6208	9.4968	6.7654	6.1097	0.0	0.0	1.3638	10.482	8.015	0.0	9.084	10.7193	0.8374	9.2591	4.2252	10.691	0.0	9.1554	10.867	5.7472	7.9268	6.3513	10.816	0.0	9.1334	12.4764	7.2107	7.8052	3.1486	9.711	8.6632	8.4181	0.0	1.1245	10.7003	0.0	6.9466	0.0	0.0	2.1829	8.6017	11.7732	9.9247	14.14	9.6865	8.8978	9.8287	0.0	7.7054	10.5868	5.1059	0.0	10.7611	0.0	2.0521	10.9422	11.1151	6.5582	7.4174	9.5325	9.8808	9.0286	3.1486	0.4786	7.9655	10.8116	0.0	0.0	6.051	6.4125	8.6392	10.9051	9.6789	9.4699	1.1245	14.5548	0.4786	3.9594	1.1245	10.2175
TCGA-A8-A08S	10.0044	11.6456	0.0	0.0	4.4143	5.9905	5.8684	7.4973	10.789	6.4696	1.9647	2.0792	12.1549	5.6166	6.7301	7.2229	1.8402	7.0476	0.0	7.1296	0.0	7.0299	4.5595	0.0	10.654	5.3114	12.5203	7.5075	4.7788	2.1854	0.7183	8.8717	10.7176	10.3117	0.0	5.4023	7.1882	7.352	2.8337	8.4527	9.9677	0.9765	3.2307	10.3429	8.249	4.1517	0.0	8.2627	4.8771	10.3245	0.0	10.6398	3.2307	0.0	12.2844	3.0737	8.3322	0.4034	0.0	10.3343	9.2971	3.0737	10.4866	9.1377	7.7033	2.6232	6.1366	7.2988	0.7183	8.4272	8.819	11.2965	6.563	0.7183	0.7183	5.5185	8.1112	3.5811	0.7183	1.3857	4.8771	7.9359	8.1625	8.8587	9.2956	3.2794	9.7037	11.1522	0.0	11.0788	9.2535	4.1777	12.6492	10.1983	8.1111	10.2844	0.0	9.1744	0.0	6.7562	2.2842	11.5235	5.4023	5.5684	2.7669	7.1527	2.9813	5.8604	0.4034	7.2869	9.2941	4.3243	0.0	9.2203	7.8224	10.161	9.2874	0.4034	10.4217	1.8402	2.4636	9.136	7.1818	3.2794	0.0	0.0	2.0792	9.9518	7.8315	0.0	8.9779	10.5257	0.0	8.6393	4.6733	11.1567	0.0	9.4067	11.0634	4.277	6.3225	6.3513	11.162	0.0	9.0552	10.0229	7.7603	8.5688	6.3683	10.4782	9.1368	8.4027	0.0	0.0	8.415	0.0	7.8578	0.0	0.0	2.6969	7.0227	9.9935	10.6458	13.4988	8.1992	9.7515	10.6456	0.0	9.2505	9.8298	5.9534	0.0	8.0907	0.0	2.0792	8.7254	11.3352	6.5531	6.4712	8.9908	9.7639	9.1252	5.4349	1.9647	7.2832	11.4091	0.0	0.4034	5.1105	8.2971	8.9593	9.8536	10.1642	9.4586	0.0	13.169	0.0	4.37	0.7183	9.8029
TCGA-A8-A09C	10.3386	11.7901	0.0	0.0	2.5842	7.5075	6.0114	8.3303	10.6938	5.8004	1.2796	2.0746	12.3892	5.9959	6.7607	8.7204	2.4014	7.1054	0.0	9.1059	0.0	8.45	4.5969	0.0	10.6039	5.3567	12.6411	7.1091	6.1416	0.0	0.7772	9.3225	9.9725	11.2058	0.0	6.1847	6.2266	9.0129	3.2579	7.742	11.3677	3.9333	6.2402	10.4671	8.7614	4.8138	0.0	9.207	4.3159	10.9784	0.0	10.8285	3.0867	0.0	10.5891	6.2805	2.0746	0.0	0.4403	10.2436	9.2842	0.7772	9.8604	8.8993	8.3837	1.9469	0.0	7.4818	0.0	7.2307	9.09	9.8656	5.8783	0.0	5.0341	0.7772	10.0932	5.6096	0.4403	1.2796	4.8138	8.4456	8.778	8.8874	10.1731	3.0247	10.4787	10.8262	0.0	10.2295	10.0967	4.618	12.3162	9.8139	8.031	11.2208	0.4403	9.8389	0.0	7.1995	1.6515	11.7938	5.8783	4.7387	3.5494	6.9094	1.0502	6.3326	0.0	7.0941	7.8664	4.6996	0.4403	9.7839	9.0767	11.1037	7.6112	0.0	9.8891	0.7772	7.4379	8.8874	7.7492	3.2579	0.0	0.0	0.4403	10.4801	8.4188	0.4403	9.9102	10.9469	1.2796	9.4538	6.8965	9.1502	0.0	8.7637	10.9003	5.1401	5.9466	7.3834	10.9689	0.0	8.7919	10.8786	6.2672	9.1824	2.8212	10.448	9.3152	7.8261	0.0	1.2796	8.2016	0.0	7.59	0.4403	0.0	2.4957	8.8765	10.2479	8.5955	12.9815	7.8261	9.1264	9.4015	0.0	6.5182	9.2061	6.6725	0.0	8.4082	0.0	3.3618	8.6933	10.1434	6.9265	6.0199	7.7753	7.5926	11.1425	1.4775	1.4775	7.8554	11.1712	0.0	0.0	6.7463	7.6399	9.1003	10.7586	9.7285	9.0709	0.0	13.3365	0.0	4.031	0.0	9.475
TCGA-BH-A1F5	8.525	12.0634	0.4526	0.0	2.3372	9.2873	4.8763	9.33	10.7784	5.8648	1.981	1.5238	12.2263	4.1952	7.3465	9.0238	1.6829	6.9804	0.0	7.1952	0.0	11.6543	4.7634	0.0	9.9093	3.5914	13.4544	7.026	4.3852	0.7965	0.4526	9.2898	9.7047	10.643	0.0	6.9115	5.7366	5.6008	3.4033	7.8855	12.2872	2.7064	1.981	9.9014	7.8116	2.6226	0.0	7.6881	6.258	10.4061	0.0	11.7495	2.6226	0.0	10.757	8.0569	10.6333	0.0	0.4526	8.8	8.0747	1.0741	9.5383	9.7186	7.2486	2.4387	1.5071	7.2416	0.0	7.7061	9.2005	7.595	4.2521	0.0	4.4596	2.2279	8.6479	3.4526	1.5071	0.7965	4.4352	8.6104	10.1351	9.2077	10.235	1.8396	10.1728	10.6059	0.0	10.4333	10.0864	3.2441	12.228	10.0942	8.5031	12.7587	0.0	8.104	0.0	7.4104	2.1097	11.3425	3.2991	4.9121	2.7856	6.5692	0.4526	8.7391	0.0	5.5788	8.9484	4.1359	0.7965	10.1603	10.6634	11.2027	8.709	0.4526	10.808	1.981	6.8344	7.5332	8.1194	3.0651	0.0	0.0	1.0741	9.0926	6.4343	0.4526	9.4864	11.5625	0.0	7.0898	7.0422	8.0521	0.0	8.6333	10.9721	6.2229	6.6187	6.4343	11.6348	0.0	8.8902	10.4869	8.2473	8.6427	2.6226	11.9102	9.3851	9.3795	0.0	1.0741	8.5578	0.0	7.7111	0.0	0.0	6.8529	7.2132	8.9332	8.9265	10.6709	7.51	9.787	9.8477	0.0	8.0347	8.7772	4.8943	0.0	9.2077	0.4526	3.1273	8.765	11.8057	5.5221	6.2719	8.9602	5.3761	10.8254	2.4387	1.8396	7.0032	10.8949	0.0	0.7965	5.3106	6.972	8.9212	11.6288	9.6568	8.6145	0.0	12.7182	0.0	3.6349	0.4526	9.3134
TCGA-A2-A0YT	9.0678	11.4897	0.0	0.0	1.0558	5.0602	4.4079	8.0849	11.7121	7.7018	0.6224	1.7771	12.6335	5.6541	3.9093	7.7919	0.0	6.0086	0.0	8.3124	0.0	7.4487	3.7448	0.8553	10.2209	6.3465	13.3527	6.9509	6.0266	0.3445	0.3445	10.0823	11.1071	10.6167	0.0	7.5351	5.6307	7.702	3.6238	5.1066	10.8388	2.0829	3.9093	9.7518	9.7337	1.7771	0.0	8.1161	4.2327	9.1434	2.1719	11.531	3.9602	0.0	10.788	8.0099	10.9568	0.0	1.2317	10.9498	9.124	2.9528	10.8426	7.8936	7.4839	1.8864	4.9885	8.9198	0.0	8.137	9.1564	10.3004	6.6971	0.0	1.0558	3.655	8.2948	1.6588	2.0829	2.4816	6.3796	7.9886	8.2916	8.5757	9.4919	4.0093	10.4143	10.7257	0.0	10.6174	8.3427	4.0333	11.8403	9.5413	8.3319	11.0257	0.0	8.5479	0.0	4.2935	0.8553	7.4904	3.0022	5.2044	3.384	7.0064	1.53	4.4261	0.3445	6.8398	8.6327	4.0093	0.0	11.1767	8.7852	12.0034	8.9765	0.0	10.8811	0.6224	5.8691	8.9302	5.0367	3.6856	0.0	1.0558	1.2317	9.9977	7.8266	1.0558	9.2647	11.7423	0.0	9.1502	5.3258	10.2559	0.0	9.0326	10.578	4.8334	7.0423	5.3258	10.9451	0.0	7.4375	10.2264	6.2424	8.398	7.0686	10.6833	9.8111	8.7331	0.0	1.0558	8.7503	0.0	6.4391	0.0	0.0	2.2558	7.7218	10.2492	9.4511	13.8738	9.1618	9.4619	9.3321	0.0	9.2165	10.1279	7.5435	0.0	9.3151	0.0	2.4816	9.6309	9.8137	4.4261	7.2146	8.61	9.2514	8.1452	0.0	0.0	6.4777	10.7165	0.0	0.3445	5.0248	6.6668	8.527	10.8399	10.2441	9.3554	0.0	11.9066	0.0	1.2317	0.0	10.3878
TCGA-A8-A093	10.4232	11.9403	0.0	0.0	1.5673	5.0756	5.7725	7.3369	10.8498	5.0981	1.3984	2.0716	13.058	5.8726	8.7002	8.0485	0.0	6.8521	0.0	8.7818	0.0	10.3592	5.8318	0.0	10.6633	4.897	12.3449	8.0196	7.7082	0.0	1.5673	7.9159	9.812	11.6199	0.0	5.7287	6.6554	7.5923	3.4352	6.2089	11.3783	3.3909	3.4352	10.2393	9.0141	3.8496	0.0	7.6221	6.4601	10.5276	0.4084	10.9904	2.8515	0.0	12.4452	3.3452	1.2072	0.0	1.3984	10.858	9.6148	1.5673	10.2182	8.4246	6.798	0.9867	0.7264	7.3133	0.0	8.1829	8.3828	9.8136	5.7198	0.0	2.5628	0.0	8.899	1.7184	0.0	0.7264	3.6	8.3657	8.8264	8.577	10.2487	3.1462	10.4962	9.8842	0.0	10.3169	9.0004	4.865	12.0363	9.942	7.8168	10.9391	0.0	9.8062	0.0	5.6273	2.8515	12.7624	5.144	5.9357	2.5628	7.4053	0.7264	2.9154	0.0	7.5074	8.2817	4.1712	1.5673	8.6564	8.2245	10.2591	8.6979	0.4084	9.1541	2.095	3.4782	9.661	3.9447	5.117	0.4084	0.0	1.3984	10.5089	8.1665	0.0	9.6511	10.8277	0.4084	9.7013	7.0396	9.5794	0.0	8.3657	11.2382	4.4556	7.3543	6.8643	10.5589	0.0	10.0417	11.018	7.5408	7.3074	1.8551	11.1343	8.8468	8.4851	0.0	0.4084	8.0105	0.0	7.8293	0.0	0.0	6.674	9.628	9.5948	8.6823	12.5635	7.9564	9.7266	9.7171	0.0	8.9583	8.9639	5.1704	0.0	8.1265	0.0	2.3943	7.8356	10.1112	7.0855	5.84	8.5483	7.3252	9.9473	2.3934	1.3984	8.1657	10.5984	0.0	0.0	4.0903	5.1306	8.6363	11.474	10.0246	9.4632	0.0	14.1178	0.0	3.5605	0.7264	10.3592
TCGA-A8-A084	10.142	12.3365	1.1112	0.0	0.4717	5.5313	7.3729	7.7421	11.0398	6.1583	1.1112	2.9212	12.6051	6.4405	8.1124	8.2061	1.7314	7.4673	0.0	9.6093	0.0	7.9391	4.1712	0.0	10.8095	3.7826	12.9321	7.2609	4.346	0.4717	1.3487	9.1398	10.1095	11.7789	0.0	3.9363	5.6247	8.2993	3.1268	6.313	10.2753	1.7314	3.7826	10.4482	7.0027	2.5916	0.0	6.306	3.6556	10.8005	0.0	10.9075	6.8754	0.0	9.4235	5.1621	2.8456	0.0	1.1112	10.9992	10.0194	1.5527	9.5105	7.3661	8.8673	2.2831	5.5904	6.9129	0.0	5.4314	8.9576	11.3459	5.1465	0.0	0.8266	5.296	8.7614	2.0335	0.4717	0.8266	4.0417	8.6345	8.8347	8.6274	10.2595	3.6556	11.0429	10.7711	0.0	10.3223	9.896	4.2901	12.0349	9.6946	8.0694	12.1138	0.0	9.1057	0.0	4.3732	2.993	11.6586	3.2492	5.2527	1.3487	6.5217	1.1112	5.2673	0.8266	6.0268	9.6966	3.7826	1.1112	8.8038	8.4457	11.425	7.3695	1.1112	9.1526	1.1112	3.8615	9.2456	4.5019	4.62	0.0	0.4717	3.5162	10.1196	7.7933	0.0	9.5307	10.7194	0.4717	9.6694	7.3145	9.7592	0.0	9.1249	10.0763	6.0353	6.6661	5.338	10.1155	0.0	8.8625	12.3905	5.7647	8.6868	6.8073	10.1444	9.1749	7.3388	0.0	0.4717	7.7857	0.0	6.9359	0.0	0.0	1.7314	6.963	10.6158	8.3415	12.0589	9.6508	8.7282	9.9988	0.0	8.9247	9.0018	7.3796	0.0	7.1977	0.0	1.3487	7.7131	10.0476	6.6439	9.814	9.9426	9.3321	10.1967	1.7314	1.3487	7.3439	10.8002	0.0	0.0	6.704	6.8754	8.7491	11.7832	9.8343	9.6584	0.0	13.9096	0.0	4.7707	0.0	11.2271
TCGA-A7-A0DC	8.2928	10.6706	0.0	0.0	0.0	9.3719	7.7179	8.0585	11.3267	4.8279	0.9379	0.6876	12.4103	5.0862	1.9059	9.1878	1.9059	7.2198	0.0	7.6897	0.0	9.6288	2.6299	0.0	9.8357	3.6201	12.2804	8.3479	3.3446	0.3844	1.3371	9.5184	11.1146	10.48	0.0	6.4595	6.8629	7.3093	4.4436	5.5675	12.5192	2.6299	1.1513	10.6367	8.7833	4.0504	0.0	6.8168	6.4138	9.9603	0.0	11.2445	3.3873	0.0	10.4787	4.1281	10.5336	0.0	0.9379	10.5565	9.2757	0.3844	9.4076	9.0665	8.2443	4.5223	1.1513	5.6394	0.0	7.5081	8.237	6.6159	7.387	0.6876	5.7334	2.8896	7.7877	6.6645	0.0	1.1513	0.0	8.5623	8.9985	8.7043	9.3177	1.5017	9.591	10.2374	0.0	10.8979	6.499	3.1097	12.0148	9.107	8.2501	10.8402	0.3844	9.2827	0.3844	5.5101	1.6494	5.1372	4.4436	7.0507	0.6876	8.6603	1.2247	1.3371	1.1513	5.7983	7.1156	4.5787	0.0	8.635	9.9345	9.317	9.1764	0.3844	10.446	0.6876	9.806	9.981	8.0847	3.7567	0.6876	0.0	0.3844	9.341	5.9268	0.0	8.2428	10.9055	0.0	8.5412	5.9484	10.2203	0.0	9.2891	11.3886	5.8295	1.6494	7.6682	11.1166	0.0	6.0516	7.8961	8.5553	10.4147	1.6494	10.6414	9.8883	10.042	0.0	0.0	5.0862	0.0	7.4463	0.0	0.0	7.7786	8.0132	6.1417	7.9308	13.3994	6.1786	9.7396	11.4007	0.0	9.5651	11.1795	2.3129	0.0	4.8623	0.0	3.69	9.4997	10.7185	6.4745	7.054	8.3547	6.0248	7.851	0.3844	3.2083	7.7572	11.0014	0.0	1.3371	8.2815	9.0698	9.1961	10.5424	10.4494	9.6075	0.0	11.5235	0.0	2.2214	0.0	9.8439
TCGA-A8-A08F	8.3324	11.5158	0.0	0.0	1.1859	4.3002	6.3737	7.6463	11.0707	5.5561	2.6089	1.991	12.0119	6.762	6.7563	8.1415	1.1859	7.1379	0.0	9.0755	0.0	7.333	4.6324	0.0	10.2441	4.9624	12.5925	6.812	6.1865	0.511	0.8876	9.2925	10.6541	10.4263	1.8279	5.8779	6.5688	8.3089	5.8986	9.311	12.3638	2.1376	3.6411	10.9957	8.2977	2.1376	0.0	7.9833	4.5562	9.9551	0.0	10.9407	2.6089	0.511	12.4173	5.5646	9.6083	0.511	1.433	9.0595	8.9184	4.8606	11.6096	7.4534	7.8751	1.433	6.7955	8.8483	0.0	7.8273	9.1508	10.5959	4.7736	1.1859	0.0	0.511	9.2406	4.17	7.1934	2.2706	6.6443	8.4563	8.9251	8.2977	10.1063	5.5646	9.9041	10.305	0.0	10.7689	9.3377	4.7736	11.3186	9.4922	8.5928	11.6293	0.0	9.0503	0.0	7.6371	0.8876	11.9891	3.9496	5.3103	2.2706	7.3023	1.8502	6.4048	0.0	5.6768	8.5671	4.1002	0.511	9.6539	10.1261	9.4939	8.6133	0.0	10.4984	0.8876	8.1989	9.153	6.2198	3.5911	0.0	0.0	0.0	11.1928	8.6054	0.0	9.154	10.6651	0.0	10.2176	5.3409	10.4089	0.0	9.499	11.0647	6.1175	7.5016	4.751	9.9674	0.511	9.2579	10.9463	7.7582	8.2801	1.8279	9.7482	9.4853	10.0373	0.0	0.0	10.4619	0.0	5.4289	0.0	0.0	8.2238	7.2306	12.5612	8.9195	12.9267	8.776	8.5361	9.9445	0.0	8.6549	8.1063	7.6646	0.0	10.5435	0.0	2.3924	8.7633	10.5052	6.3306	6.6196	8.5228	10.4809	8.7506	0.0	1.1859	7.5155	9.9971	0.0	0.0	7.5965	9.0422	8.6396	11.4546	10.5199	10.5094	0.0	13.5628	0.0	1.1859	0.0	10.0501
TCGA-A8-A06T	9.2872	10.6344	0.0	0.0	3.0835	3.9214	5.9561	7.7111	10.4838	6.6165	0.8489	0.0	12.9933	5.6399	5.6781	8.1648	0.6173	6.6977	0.0	8.4312	0.0	7.0858	5.302	0.0	10.5736	4.7919	13.0666	7.2441	6.3226	0.6173	1.2235	9.5584	10.8932	9.925	1.0483	9.2933	5.5022	8.3063	2.2444	8.0791	11.2164	1.7669	5.302	10.9508	8.1472	4.6761	0.0	6.4337	4.873	10.425	0.0	11.0801	2.7812	0.0	9.5191	4.6761	1.5206	0.0	0.8489	9.866	8.8835	3.7884	10.6431	8.309	7.8987	4.7496	6.8755	6.8524	0.0	7.2159	9.4431	11.558	5.331	0.0	1.5206	0.0	7.7475	5.7514	0.3414	2.2444	6.7771	8.3974	9.1124	9.181	10.5737	4.1117	10.2761	10.2602	0.0	10.237	8.2201	4.661	11.1745	10.301	9.0432	11.3432	0.0	8.9721	0.0	4.357	0.8489	10.6743	5.232	5.737	3.7884	6.9522	1.5206	5.5524	1.5206	5.3117	7.2416	4.517	0.0	9.0182	9.3068	10.0963	7.4932	0.0	10.5356	0.0	1.649	8.5816	5.0694	4.1556	0.0	0.0	0.0	9.9302	9.1467	0.0	9.6022	11.3319	0.0	8.9551	6.5033	10.1296	0.0	8.7952	10.8947	5.7867	6.8187	7.0161	11.471	0.0	6.6293	10.1936	7.8344	8.8447	2.5376	10.7775	9.2497	7.4096	0.3414	0.0	9.0461	0.0	7.2211	0.0	0.0	1.5206	5.6629	10.8646	9.1618	12.6041	7.452	8.7021	7.6907	0.0	6.6293	9.9039	6.679	0.0	9.2131	0.0	2.6646	9.4403	10.7345	6.7452	7.2743	8.6465	9.6756	8.15	4.3381	0.3414	7.4125	10.5025	0.0	0.0	5.9943	5.6244	9.3134	9.6742	10.3682	8.9836	0.0	12.7453	0.0	0.6173	0.8489	10.5283
TCGA-AR-A2LR	7.6478	11.5911	0.0	0.0	1.7772	4.352	6.8462	8.5687	11.8802	6.2255	2.7711	3.5461	11.2913	7.1328	5.5434	7.0974	0.5709	8.2592	0.0	10.8019	0.0	10.809	4.4514	0.0	9.7754	12.1596	12.8138	6.5801	7.9408	10.1579	2.137	9.7349	8.365	10.7861	0.0	7.5725	8.4007	8.3065	4.2452	6.5654	9.5417	3.9146	4.6032	10.922	6.2801	2.4248	0.5709	7.1915	4.9589	10.1822	0.9789	12.0359	2.137	4.4055	9.4714	6.8588	9.2407	0.0	1.2966	4.4514	8.0663	2.137	10.6024	8.4813	9.0021	2.137	2.6646	10.1444	0.5709	8.4949	10.0972	9.4694	5.1682	6.3418	3.0501	5.0881	8.346	1.7772	0.5709	3.2838	5.8652	8.1721	9.0374	8.0637	9.413	2.8702	10.1542	9.7134	0.0	9.7921	11.8711	4.0893	12.4642	9.3489	7.5981	11.8481	1.2966	9.13	0.5709	9.4615	5.0881	9.8039	4.1694	3.5461	5.1876	8.1327	2.137	5.1876	2.4248	8.8172	7.4457	4.9132	0.0	11.2372	9.6933	9.0291	9.5943	0.5709	8.98	2.7711	0.9789	9.8141	6.8097	3.354	3.1323	0.5709	5.2625	9.4743	8.0452	0.0	9.2875	11.765	0.5709	8.8172	6.4659	10.0564	0.0	9.4099	10.1118	5.9356	7.8586	4.9589	9.98	0.0	9.2454	10.8183	7.4497	8.7374	2.2881	10.0824	9.4415	9.6406	0.0	9.2056	8.8706	0.0	7.22	0.0	0.0	7.3545	5.2441	10.981	11.0319	12.5367	6.4175	8.5539	10.592	0.0	8.9449	9.9848	1.7772	0.0	9.4068	0.0	2.7711	7.3883	9.8031	6.6019	7.8123	8.9856	8.3861	9.3829	3.6049	2.4248	8.8163	11.2908	0.0	0.0	7.409	9.4724	8.2592	9.2807	9.7658	8.3522	1.2966	13.8602	0.0	2.4248	0.0	9.748
TCGA-A8-A06U	9.0079	11.5898	0.474	0.0	3.0687	5.1064	6.1966	8.1246	11.4437	5.9458	0.8302	3.7903	12.5289	5.5027	6.1657	7.5523	0.474	6.9801	0.0	7.8165	0.0	8.7072	4.1477	0.0	9.4236	5.2461	12.8293	8.3968	5.8527	0.8302	0.474	10.2248	11.036	10.5297	0.0	6.0603	6.2712	8.3606	5.8527	9.0434	11.9149	2.5985	5.4265	9.7235	8.5529	2.0397	0.0	6.554	3.7492	10.0187	0.0	11.2783	2.5985	0.0	8.7869	5.6553	10.3073	0.0	0.474	11.08	9.8895	4.083	11.2482	8.5912	7.1556	1.7371	5.9826	8.0183	0.0	8.6172	8.1166	11.1362	5.7625	2.1701	1.1156	3.1966	9.245	4.3539	0.0	1.1156	6.5835	8.0693	8.7206	8.6115	9.9999	4.4597	10.1428	10.9333	0.0	10.3235	8.6719	4.6505	12.0305	9.2883	8.0462	10.73	0.0	8.778	0.0	4.6051	2.6883	9.8871	4.6051	5.1386	3.2566	8.9759	1.1233	4.4077	0.8302	7.8363	8.6172	4.0152	1.5582	8.5999	9.4181	11.5774	8.063	0.0	10.8637	0.8302	4.083	9.4726	7.9788	4.9336	0.0	0.0	3.9071	10.3288	8.7677	0.0	8.3767	12.0426	0.474	9.6994	4.819	10.5032	0.0	9.4797	10.6336	6.9071	6.0687	5.0226	10.6375	0.0	9.4309	10.706	8.2048	8.1446	1.7371	10.2406	10.3041	7.3743	0.474	0.474	9.2928	0.0	7.824	1.3538	0.0	3.1341	6.383	11.3223	8.4072	13.5288	8.4887	9.8179	10.3701	0.0	5.4395	9.9655	6.0434	0.0	9.8235	0.0	2.0397	7.4209	10.0228	6.1813	7.411	10.1137	11.8599	7.2618	1.1156	0.8302	7.2586	11.021	0.0	0.474	6.6353	8.1837	8.358	10.4461	10.3534	10.1887	0.0	12.4603	0.8302	1.5582	0.0	11.3801
TCGA-AQ-A0Y5	9.6218	12.7091	0.0	0.0	0.4362	7.8058	5.4383	8.4576	10.229	6.4285	2.0625	2.3885	11.4405	6.9022	8.1575	8.145	1.2703	5.763	0.0	8.7058	0.0	9.7952	6.0043	0.0	9.9308	7.3799	13.5633	5.5941	7.1338	1.4673	0.0	9.65	10.1622	10.2371	0.0	6.0122	4.8872	7.7859	2.4826	6.9809	11.3195	4.0472	4.1655	10.4251	8.7562	2.3885	0.0	8.6862	4.8872	9.2733	1.9351	11.147	4.3516	0.7706	8.1521	4.4246	9.4878	0.0	3.777	8.9642	8.9406	2.3885	9.8058	8.7888	8.2574	4.8872	2.4826	6.5192	0.0	9.5019	10.2278	9.8342	4.4712	0.0	2.4826	0.4362	8.9326	1.6407	0.4362	0.7706	4.1368	7.8572	8.8464	9.0741	9.6385	3.9517	10.3167	10.414	0.0	11.3614	10.1912	5.7441	11.484	10.253	8.0881	12.6923	0.0	8.5213	0.0	7.6946	1.0419	12.3844	4.1368	4.3264	3.3966	7.9425	2.3885	11.0707	0.0	7.0285	8.0053	2.6543	0.7706	9.4934	9.654	10.0504	8.6825	0.0	10.0436	0.0	8.5637	9.2179	6.2516	5.2505	0.0	0.4362	1.9351	9.7355	8.1159	0.0	9.1754	11.6437	0.7706	8.1287	6.1259	10.6362	0.0	9.8309	10.673	5.2505	9.1288	5.3537	11.235	0.4362	8.9323	10.5782	7.8306	9.255	1.7954	10.2514	9.4927	9.4821	1.9351	0.4362	9.0703	0.0	6.7591	0.0	0.0	3.2437	7.0859	12.2906	9.6363	12.4699	12.4723	9.8684	8.9017	0.0	8.7372	9.8809	8.5255	0.0	9.2041	0.0	1.6407	8.8094	10.0642	5.5294	7.5715	9.0173	8.7922	9.9323	4.6644	1.2703	6.4255	11.1906	0.0	0.0	5.9883	6.7064	9.5166	11.4018	9.6863	9.217	0.0	13.9574	0.4362	3.777	0.4362	10.4479
